domain,priority,variables,waves,analysis_role,why_needed
identifiers_design,required,childid; scales_schoolt1; q5gender; ethnicityt1; idaci_quintilet1; aget1; agemthst2; agemthst3; agemthst4; Agemthst5; lag1; lag2; lag3; lag4; sampling weights/strata/auxiliary variables if included,T1-T5,"participant linkage, school clustering, age adjustment, design weighting, fairness/sampling audit",SCALES intentionally over-sampled sex and season-of-birth strata; all longitudinal models need age/lag and design variables.
screening_context,required,ccctotalt1; z_cctotalt1; q11schoolaction; q13nophrasespeech; q14slt; q15edpsych; anyconcernst1; q17nodiagnoses; q17asd; q17speechlanguagedisorder; neweyfsptotalt1; neweyfsp_gldcatt1; T1 SDQ variables,T1,"pre-intensive baseline risk, teacher concern, school support, early functional impairment",Lets us test whether later language state adds value beyond the earliest teacher-screening and school-support signals.
diagnostic_labels,required,LDt2; DLDt2; biomedical/additional-diagnosis indicators used to derive DLD if available,T2,"label replication, subgroup definition, label-vs-dimensional-state comparison","We need the published diagnostic construct, but the project question is whether dimensional state and movement outperform the label for outcomes."
core_vocabulary,required,rowpvttotalt2-t5; eowpvttotalt2-t5,T2-T5,receptive/expressive vocabulary trajectories,"Vocabulary is one axis in the language-state model and may diverge from grammar, phonology, and narrative trajectories."
core_grammar_sentence_repetition,required,trogtotalt2; trogtotalt3; grammardecision_totalscoret5; sentrepcontenttotalt2-t4; sentrepfunctiontotalt2-t4; sentrepsentencetotalt2-t4; sentrepverbtotalt2-t4,T2-T5,"grammar comprehension, grammaticality judgment, sentence repetition level and scoring method comparison","This directly connects Brian's structured-task advice, the Fiveash pilot, and Ward et al.'s SCALES sentence-repetition result."
narrative_discourse,required,narrativerecalltotalt2-t4; narrativecomptotalt2-t4; narrativecompliteraltotalt2-t4; narrativecompinferencetotalt2-t4; audio availability/derived narrative transcripts if separately accessible,T2-T4,"ecological language/discourse axis, content recall, literal/inference comprehension",Narrative is the closest SCALES analogue to the natural-speech/discourse state we have been modeling in CHILDES/AphasiaBank.
clinical_markers_phonology_speech,required,ptt20completedt2; ptt20acct2; pttirregcorrectt2; pttregcorrectt2; nwrephightotalt2-t3; nwreplowtotalt2-t3; nwreptotalt2-t3; phonemedeletiontotalt2; deappcct2-t3; ddk*totalt2-t3; ddk*ratesecaveragt2-t3; hearingscreent2-t3,T2-T3,"mechanistic markers for morphology, phonological memory, speech sound production, motor speech rate, hearing confounds","These variables let us ask which mechanism predicts persistence, literacy risk, or recovery rather than treating DLD as one condition."
nonverbal_iq_and_cognition,required,"blockdesigntotalt2-t4; matrixreasoningtotalt2-t5; executive-function and processing-speed variables including visual search, go/no-go, SOPT, SwIFT, WISC coding, reaction time, RAN",T2-T5,"NVIQ gatekeeping audit, cognitive covariates, competing explanations for language-growth trajectories",Norbury et al. showed NVIQ criteria affect service access; our models must quantify whether NVIQ changes prognosis or just excludes children.
literacy,required,cc2irregulartotalt2-t5; cc2nonwordtotalt2-t5; cc2regulartotalt2-t5; cc2totalt2-t5; yarclettersoundknowledgetotalt2-t3; yarc reading comprehension/error/rate/time variables at T3 and T5,T2-T5,"long-term functional outcome, reading mechanism, school-impact validation","A clinically useful child-language state model should predict reading and academic risk, not just language-test status."
social_emotional_mental_health,high,CCC-S/CCC-2 parent and teacher totals; SDQ parent/teacher/child subscales; SWAN; social skills/theory of mind; implicature comprehension; RCADS; MSLSS; bullying/victimization variables,T2-T5,"functional impact, mental-health sequelae, pragmatic/social-language pathways",SCALES was designed to study language and socioemotional development through secondary-school transition; this is the high-impact outcome layer.
school_support_and_send,high,"schooltypet2-t4; SEND variables; parent/teacher reports of school support, referrals, special educational needs, and service use",T2-T5,"care pathway, service-need prediction, whether models identify unsupported children",The end goal is better care. These variables tell us whether language-state profiles map to support received or missed.
